code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x0000517C,0x0000517D,0x80,CSurface__GetZRLEEndLine__FPUcs
CODE_01_Visos (Mac Specific).bin,0x00005215,0x00005216,0x00,BlitZRLEClip__8CSurfaceFRC7CVSRectRC7CVSRectP8CResZRLEUc
CODE_01_Visos (Mac Specific).bin,0x00005369,0x0000536A,0x00,CSurface__BlitZRLEClipZBuffASM__FPUcPPUcPPUsssssUs
CODE_01_Visos (Mac Specific).bin,0x00005427,0x00005428,0x00,BlitZRLEClipZBuff__8CSurfaceFRC7CVSRectRC7CVSRectP8CResZRLEUs
CODE_01_Visos (Mac Specific).bin,0x000055CF,0x000055D0,0x00,CSurface__BlitZRLEClipQZBuffASM__FPUcPPUcPPUsssssUs
CODE_01_Visos (Mac Specific).bin,0x0000568F,0x00005690,0x00,BlitZRLEClipQZBuff__8CSurfaceFRC7CVSRectRC7CVSRectP8CResZRLEUs
CODE_01_Visos (Mac Specific).bin,0x000057D0,0x000057D1,0x80,FastMemCpy__Fv
CODE_01_Visos (Mac Specific).bin,0x0000580A,0x0000580B,0x80,InitFastMemCpy__Fv
CODE_01_Visos (Mac Specific).bin,0x000058DE,0x000058DF,0x80,FastMemSet__Fv
CODE_01_Visos (Mac Specific).bin,0x00005918,0x00005919,0x80,InitFastMemSet__Fv
CODE_01_Visos (Mac Specific).bin,0x00005980,0x00005981,0x80,CSurface__2DMemSet__FPPUcUcsss
CODE_01_Visos (Mac Specific).bin,0x000059F1,0x000059F2,0x00,CSurface__2DMemCpy__FPPUcPPUcssss
CODE_01_Visos (Mac Specific).bin,0x00005A65,0x00005A66,0x00,CSurface__2DMemCpyScreen__FPUcPPUcssss
CODE_01_Visos (Mac Specific).bin,0x00005B1D,0x00005B1E,0x00,CSurface__2DMemCpyScreen2__FPUcPPUcssss
CODE_01_Visos (Mac Specific).bin,0x00005BBB,0x00005BBC,0x00,Blit__8CSurfaceFP15CCopyToBackBuff
CODE_01_Visos (Mac Specific).bin,0x00005C41,0x00005C42,0x00,Blit__8CSurfaceFP21CCopyColourToBackBuff
CODE_01_Visos (Mac Specific).bin,0x00005D61,0x00005D62,0x00,CopyBackBuffToScreen__8CSurfaceFRC7CVSRect
CODE_01_Visos (Mac Specific).bin,0x00005DA3,0x00005DA4,0x00,GetWorldWidth__20CPVScrollableSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x00005DDE,0x00005DDF,0x80,GetCurrDB__8CSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x00005E14,0x00005E15,0x80,Flush__8CSurfaceFv
CODE_01_Visos (Mac Specific).bin,0x00005F86,0x00005F87,0x80,KillSystemCursor__7CCursorFv
CODE_01_Visos (Mac Specific).bin,0x00005FBA,0x00005FBB,0x80,RestoreSystemCursor__7CCursorFv
CODE_01_Visos (Mac Specific).bin,0x0000600A,0x0000600B,0x80,InWindow__7CCursorFP5CGWnd
CODE_01_Visos (Mac Specific).bin,0x00006062,0x00006063,0x80,__dt__7CCursorFv
CODE_01_Visos (Mac Specific).bin,0x0000607E,0x0000607F,0x80,RefreshPos__11CBaseCursorFv
CODE_01_Visos (Mac Specific).bin,0x000060D6,0x000060D7,0x80,__dt__17CBroadcastMessageFv
CODE_01_Visos (Mac Specific).bin,0x0000613A,0x0000613B,0x80,__dt__15CMessReqConnectFv
CODE_01_Visos (Mac Specific).bin,0x00006184,0x00006185,0x80,__dt__11CBasePacketFv
CODE_01_Visos (Mac Specific).bin,0x000061D6,0x000061D7,0x80,__dt__11CBaseSocketFv
